path_width, tree_width, join_sum, max_length, min_length, #automorphisms, length_diff, all_results_pd_600, all_results_pd_nauty_600, all_results_td_600
10, 9, 17, 40, 1, 1, 39, 1, 1, 2
9, 9, 15, 35, 1, 1, 34, 0, 0, 1
22, 21, 38, 10, 1, 1, 9, 2, 3, 8
16, 19, 33, 31, 1, 1, 30, fail, fail, fail
15, 11, 20, 13, 1, 1, 12, 1, 1, 2
19, 18, 8, 5, 1, 2.08025e+30, 4, 2, 1, 6
12, 10, 14, 7, 1, 1.04509e+11, 6, 0, 0, 2
16, 15, 19, 9, 1, 6.71409e+27, 8, 63, 7, 578
23, 15, 26, 64, 1, 8, 63, fail, fail, fail
14, 13, 17, 12, 1, 1.18931e+20, 11, 52, 3, 198
17, 8, 12, 6, 1, 331776, 5, 0, 0, 0
20, 11, 15, 6, 1, 4.21382e+14, 5, 0, 0, 1
21, 11, 15, 6, 1, 9.91091e+17, 5, 0, 1, 2
14, 7, 11, 13, 1, 138240, 12, 0, 0, 0
15, 6, 10, 18, 1, 331776, 17, 4, 3, 0
25, 16, 19, 18, 1, 1.55793e+60, 17, fail, fail, fail
27, 13, 21, 7, 1, 1.04853e+22, 6, 9, 58, 21
21, 11, 15, 13, 1, 9.91091e+17, 12, 76, 42, 43
22, 15, 18, 10, 1, 8.79227e+27, 9, 163, 11, fail
31, 20, 23, 8, 1, 1.84764e+43, 7, fail, fail, fail
11, 5, 9, 6, 1, 2, 5, 0, 0, 0
14, 4, 8, 61, 1, 1, 60, 1, 1, 1
18, 4, 8, 67, 1, 2, 66, 1, 2, 0
17, 4, 8, 6, 1, 69120, 5, 0, 0, 1
19, 4, 8, 73, 1, 4, 72, 5, 8, 1
16, 4, 8, 7, 1, 64, 6, 0, 0, 1
24, 5, 10, 9, 1, 16, 8, 0, 0, 1
24, 4, 8, 14, 1, 24, 13, 0, 0, 1
22, 4, 8, 17, 1, 4, 16, 0, 0, 2
23, 5, 10, 13, 1, 2, 12, 0, 1, 2
26, 6, 12, 15, 1, 4, 14, 0, 1, 2
32, 4, 8, 18, 1, 32, 17, 0, 4, 2
83, 9, 18, 11, 1, 7.35802e+77, 10, fail, fail, 14
29, 9, 16, 9, 1, 64, 8, 5, 34, 4
48, 12, 23, 8, 1, 7.92542e+15, 7, 7, 81, 6
38, 12, 22, 6, 1, 6.01158e+14, 5, 1, 9, 4
93, 8, 15, 8, 1, 4.70308e+41, 7, 3, 105, 3
10, 10, 0, 11, 1, 1440, 10, 0, 0, 0
9, 8, 0, 11, 1, 2, 10, 0, 0, 0
9, 8, 15, 39, 1, 1, 38, 0, 0, 0
15, 7, 12, 35, 1, 1, 34, 42, 41, 0
43, 12, 21, 7, 1, 1, 6, 0, 0, 2
40, 13, 26, 86, 1, 1, 85, fail, fail, fail
47, 14, 25, 8, 1, 2, 7, 0, 5, 2
44, 14, 28, 7, 1, 1, 6, 0, 1, 2
47, 13, 26, 13, 1, 2, 12, 60, fail, 4
47, 14, 28, 10, 1, 2, 9, 4, 53, 3
45, 13, 26, 6, 1, 1, 5, 0, 0, 1
46, 14, 27, 7, 1, 2, 6, 0, 2, 2
5, 5, 9, 48, 1, 1, 47, 0, 0, 0
